xn,y,ymin,ymax,d,d_obs,u
20.107931,20.100456,20.0,22.0,30.566668,30.566668,0.99989927
20.115356,20.107931,20.0,22.0,30.583334,30.583334,0.9999002
20.122734,20.115356,20.0,22.0,30.6,30.6,0.9999012
20.130068,20.122734,20.0,22.0,30.616667,30.616667,0.9999021
20.13736,20.130068,20.0,22.0,30.633333,30.633333,0.99990296
20.144613,20.13736,20.0,22.0,30.65,30.65,0.9999039
20.15183,20.144613,20.0,22.0,30.666666,30.666666,0.9999049
20.159014,20.15183,20.0,22.0,30.683332,30.683332,0.9999057
20.166164,20.159014,20.0,22.0,30.7,30.7,0.99990654
20.173285,20.166164,20.0,22.0,30.716667,30.716667,0.9999075
20.180376,20.173285,20.0,22.0,30.733334,30.733334,0.9999083
20.18744,20.180376,20.0,22.0,30.75,30.75,0.99990916
20.19448,20.18744,20.0,22.0,30.766666,30.766666,0.99991
20.201498,20.19448,20.0,22.0,30.783333,30.783333,0.99991083
20.208492,20.201498,20.0,22.0,30.8,30.8,0.99991167
20.215467,20.208492,20.0,22.0,30.816668,30.816668,0.9999125
20.222424,20.215467,20.0,22.0,30.833334,30.833334,0.99991333
20.22936,20.222424,20.0,22.0,30.85,30.85,0.99991405
20.236282,20.22936,20.0,22.0,30.866667,30.866667,0.9999149
20.243189,20.236282,20.0,22.0,30.883333,30.883333,0.9999157
20.25008,20.243189,20.0,22.0,30.9,30.9,0.99991643
20.256958,20.25008,20.0,22.0,30.916666,30.916666,0.99991715
20.263823,20.256958,20.0,22.0,30.933332,30.933332,0.999918
20.270676,20.263823,20.0,22.0,30.95,30.95,0.9999187
20.277517,20.270676,20.0,22.0,30.966667,30.966667,0.9999194
20.28435,20.277517,20.0,22.0,30.983334,30.983334,0.9999201
20.291172,20.28435,20.0,22.0,31.0,31.0,0.99992096
20.297985,20.291172,20.0,22.0,31.011667,31.011667,0.99992156
20.304672,20.297985,20.0,22.0,31.023333,31.023333,0.99992216
20.311241,20.304672,20.0,22.0,31.035,31.035,0.99992275
20.317698,20.311241,20.0,22.0,31.046667,31.046667,0.9999232
20.324049,20.317698,20.0,22.0,31.058332,31.058332,0.9999238
20.330301,20.324049,20.0,22.0,31.07,31.07,0.9999244
20.336462,20.330301,20.0,22.0,31.081667,31.081667,0.999925
20.342535,20.336462,20.0,22.0,31.093334,31.093334,0.9999255
20.348526,20.342535,20.0,22.0,31.105,31.105,0.9999261
20.354439,20.348526,20.0,22.0,31.116667,31.116667,0.99992657
20.36028,20.354439,20.0,22.0,31.128334,31.128334,0.99992704
20.36605,20.36028,20.0,22.0,31.14,31.14,0.99992764
20.37176,20.36605,20.0,22.0,31.151667,31.151667,0.9999281
20.377407,20.37176,20.0,22.0,31.163334,31.163334,0.9999286
20.382998,20.377407,20.0,22.0,31.175,31.175,0.9999291
20.388535,20.382998,20.0,22.0,31.186666,31.186666,0.99992955
20.394022,20.388535,20.0,22.0,31.198334,31.198334,0.99993
20.399462,20.394022,20.0,22.0,31.21,31.21,0.9999305
20.404856,20.399462,20.0,22.0,31.221666,31.221666,0.999931
20.41021,20.404856,20.0,22.0,31.233334,31.233334,0.99993145
20.415524,20.41021,20.0,22.0,31.245,31.245,0.99993193
20.420801,20.415524,20.0,22.0,31.256666,31.256666,0.9999324
20.426044,20.420801,20.0,22.0,31.268333,31.268333,0.9999329
20.431253,20.426044,20.0,22.0,31.28,31.28,0.99993336
20.436432,20.431253,20.0,22.0,31.291666,31.291666,0.9999337
20.441582,20.436432,20.0,22.0,31.303333,31.303333,0.9999342
20.446705,20.441582,20.0,22.0,31.315,31.315,0.9999347
20.451803,20.446705,20.0,22.0,31.326666,31.326666,0.99993503
