,T_EW1,T_EW2,T_EW3,T_EW4,T_AW1,T_AW2,T_AW3,T_FW1,T_FW2,T_FW3,T_AF1,T_AF2,T_AF3,T_FC1,T_FC2,T_FC3,T_FF1,T_FF2,T_FF3,T_AR1,T_AR2,T_AR3,T_RJ1,T_RJ2,T_RJ3,T_DR1,T_IW1,T_IW2,T_IM1,T_FM1,T_LIV,T_FND,T_ATC
T_AR2,3.6110151203214093e-09,3.521172601446997e-08,1.6248838376594268e-06,1.7565670245309423e-05,4.2360061169187575e-05,0.0003585037372149879,0.0025819798826496702,1.779036081305313e-12,3.1029785485869906e-10,2.359837903357432e-09,0.013856575376851369,0.011746065085301845,0.0013874138873928737,1.7642973282168663e-06,7.0504128927362496e-06,3.0735509994693472e-06,1.2266940880154987e-10,7.684514264726095e-09,4.031213647835196e-09,0.07054980147192824,0.0010679718728349211,0.1132687543872278,4.194776734901062e-13,3.236037427230887e-11,6.468394106076735e-10,3.029468787557463e-07,1.4027933857044687e-05,3.7806380173174942e-06,3.040277894657841e-06,2.6270202688454106e-09,0.00020117479159842102,1.4418427418864523e-07,0.039197192134473
T_AR3,7.4185722779816915e-09,7.207684157748844e-08,3.2708260700281774e-06,3.4477482340178834e-05,7.48969208085002e-05,0.0006312027527580867,0.004410858794897655,3.821938077893326e-12,6.573306037542917e-10,4.916816883153797e-09,0.022650586536112637,0.02082347181089635,0.0025687014068708288,3.5523673369484844e-06,1.3906786595861224e-05,5.929181357690851e-06,2.615995921054081e-10,1.6136634480284655e-08,8.312846914162072e-09,0.10189588404903668,0.0015607899226586527,0.16696385345741416,8.934572798759177e-13,6.861538349895426e-11,1.3501470086420292e-09,5.959501325560293e-07,2.7523941221735826e-05,7.531312872669259e-06,6.002684206100679e-06,5.490839021825332e-09,0.0003848727818246929,2.957090013077939e-07,0.060817431965750214
T_RJ1,1.865678840449157e-10,1.8535004794066629e-09,9.281392989941297e-08,1.1271184618346903e-06,6.215072871023993e-15,6.597863660101918e-14,1.3347579255822605e-12,4.398454747340183e-07,3.4993508178525677e-05,0.0001009606324097208,1.009278384540125e-09,5.105750920374201e-08,6.616166052996942e-07,0.0006753748238243888,0.00019503524413403951,9.050496663079553e-06,1.971380359538992e-05,0.0005142875909579025,9.196694112084101e-05,5.531431905065433e-12,2.0904544986903854e-13,3.23125574403989e-11,0.004147744543984426,0.22609855864809095,0.01831605356412059,1.9250467702566836e-08,9.01966254875486e-07,2.2656731909782843e-07,1.901373368931496e-07,0.00014720342118256042,1.4464680226869092e-05,0.002632294879987049,1.5460601610831423e-10
T_RJ2,7.621737256997291e-10,7.517090351438285e-09,3.6498557285084297e-07,4.255724469369662e-06,2.7780471851748947e-14,2.924458336460449e-13,5.762048323537864e-12,1.6215861651161491e-06,0.00012357094122102168,0.0003394260204933575,4.090730540409546e-09,2.0099536935161256e-07,2.504101236095753e-06,0.0022835368087957496,0.0006799508947017415,3.1766880402723896e-05,7.092656667416685e-05,0.0017691917276674565,0.00030137347153576396,2.434039842385407e-11,9.018209260344437e-13,1.3876947329205982e-10,0.01264365677682998,0.6892615666289007,0.05780967660662492,7.292406514037723e-08,3.4034318992543975e-06,8.756460109473662e-07,7.241968576445507e-07,0.0005043840316074021,5.270689396849801e-05,0.00858183555507386,6.446846540563586e-10
T_RJ3,5.329909264948788e-08,5.109655586689614e-07,2.176597083246124e-05,0.0002083807922498936,2.6695505263591777e-12,2.7372823491876514e-11,4.941192682272493e-10,6.998822587055285e-05,0.004029390659007995,0.007165109876346287,2.773629482433803e-07,1.204578576504455e-05,0.00012421093948122858,0.051356965401237395,0.020050911625434653,0.0009860585356509066,0.002634803253570344,0.04684272037616018,0.004662972762692561,2.223320091737626e-09,7.712535105251456e-11,1.168281264155464e-08,0.00438228600254607,0.2473400523520521,0.4313383449369323,3.6342143954445293e-06,0.0001662301042341705,4.811725867809744e-05,3.714758861460494e-05,0.012923626088781816,0.0021117377953484002,0.1233337098341849,4.8807353401930294e-08
T_DR1,2.0080029306783194e-05,0.00017792192851988332,0.004797465273936578,0.020932959483189167,3.1077616515496262e-09,2.9457434475794705e-08,3.9407125732415833e-07,4.462686805455742e-08,4.79822320305636e-06,2.0423768385364824e-05,9.576654141601271e-05,0.0027224813891319278,0.013481575842749264,0.0048673958709700964,0.00979819474193072,0.002002304293993622,2.3641753347671817e-06,8.675420206020746e-05,2.402806147692717e-05,2.147852745140307e-06,6.017347219278786e-08,8.590415751850626e-06,7.672696277120007e-09,5.197598012530427e-07,6.054084149648142e-06,0.36705790981790665,0.017405594861945997,0.00730362744924326,0.004901598516609621,2.612312108819654e-05,0.09778905459175243,0.0007378450457071796,2.4664719188459884e-05
T_IW1,5.985219408580601e-05,0.0005290808272019177,0.01403409928663766,0.059695879201222234,9.707397197940868e-09,9.175335868850504e-08,1.2126482599198406e-06,1.4045356228474216e-07,1.4836140707636455e-05,6.17655545536048e-05,0.0002847122333756862,0.007973845687281657,0.03857122812469178,0.01416392687132945,0.028043020100925107,0.0056842436218241385,7.367956908098875e-06,0.0002650199683072206,7.163149736282813e-05,6.6547875926879425e-06,1.8490152185055497e-07,2.6328315293840416e-05,2.3856415902041906e-08,1.6097449399558535e-06,1.8376202681524567e-05,0.0011550400858411098,0.3355387824328544,0.19468478564912775,0.014142978961848289,7.952304996114503e-05,0.2775056427719976,0.0021904484857544573,7.442595175499562e-05
T_IW2,3.668060487100814e-05,0.00032908084446426635,0.009652711056461646,0.049024291870754876,4.517141168160892e-09,4.344684029983676e-08,6.17543725318594e-07,6.242905344987573e-08,7.341131860078819e-06,3.476273963499145e-05,0.00017735671842932413,0.005446015653577592,0.030990052980777012,0.010015322937499158,0.022383693345932053,0.005112795093120426,3.477305256829496e-06,0.00014074804369498567,4.375429544947466e-05,3.251003823881488e-06,9.492214706093065e-08,1.3722676266042553e-05,1.1414788085755718e-08,7.889041792844343e-07,1.0132174286545213e-05,0.0009232142047922613,0.3708409568389054,0.21728740962361484,0.010754633296754766,4.313974788526903e-05,0.2615221550798892,0.0013725492762314377,4.2480260166032435e-05
T_IM1,5.059392109690567e-06,4.5103202910394025e-05,0.0012705743496564243,0.006168240076530074,7.275207520277811e-10,6.921553618036571e-09,9.411405656860337e-08,1.0360600049098171e-08,1.138084618199249e-06,5.002736948043165e-06,2.4293254661605245e-05,0.0007188879515884584,0.003918436332379997,0.0013021848079371298,0.0028288121743782757,0.0006481662803130006,5.55137941312516e-07,2.0922218128265444e-05,6.036904247608908e-06,5.078096691917067e-07,1.439430918969585e-08,2.0624750986429215e-06,1.8063965023153102e-09,1.230346416518028e-07,1.4750525460098318e-06,0.00011683600299380162,0.005080093017905275,0.002028012820510501,0.9416262123241981,6.339102333833717e-06,0.03349138841777523,0.00018724607841517316,6.071902591041462e-06
T_FM1,8.76085248635162e-09,8.424075238772509e-08,3.642325903817005e-06,3.579375798517414e-05,4.2644468363795075e-13,4.3816222988185815e-12,7.966643442838055e-11,1.225888928105536e-05,0.0007432992248192237,0.0014737693772678064,4.573998790112151e-08,2.0145491524166012e-06,2.1296234874887156e-05,0.010374407713770739,0.0037800259921064996,0.00018377415184489836,0.00047372474624058253,0.00906128511453613,0.0010643394835079618,3.5658354628525266e-10,1.2437725532854435e-11,1.8866091175780993e-09,1.3985035737744414e-06,8.56903864310426e-05,0.000513169986986501,6.226787125313339e-07,2.8564313922825092e-05,8.134908868656275e-06,6.339102333833719e-06,0.9427677690967495,0.000374492156830351,0.028973420338493157,7.958953455364934e-09
T_LIV,0.00025825484519475525,0.0022240351335461603,0.04799098903749606,0.1259751546287338,6.689792477379904e-08,6.167440034164629e-07,7.280100283006665e-06,1.0414068243787583e-06,9.3121689259822e-05,0.00031057857919351405,0.0011943896843012675,0.027742884627581097,0.0879396766603123,0.04494973324294628,0.06535015607698018,0.00887454392652706,4.983409018524523e-05,0.001478500323633982,0.00030865863851916334,4.244555665244858e-05,1.0925114647135738e-06,0.00015168244278340666,1.5762656506699292e-07,1.0271008633093052e-05,9.618154627443246e-05,0.002673647205697816,0.11433454959379372,0.05656639131563289,0.03841563795460027,0.00042955385826873413,0.3480810148350776,0.009008439455995085,0.00036691436504977245
T_FND,8.664219507185548e-07,8.075700317542948e-06,0.00029762747317250813,0.002257634783626479,6.136756250984882e-11,6.129057620659879e-10,1.007733209804254e-08,0.0006741021615782066,0.027426229535554354,0.024967146266764235,4.371111056933238e-06,0.00016577985631771787,0.001370517238962424,0.21122132213245592,0.11648731062164355,0.006061227889516349,0.021285575430204203,0.24491769121868218,0.009839705126784138,4.835663225460831e-08,1.566030925951628e-09,2.33084103577054e-07,5.737003427217846e-05,0.0033446898664387533,0.011234753619264546,4.034679244888337e-05,0.001804964674054659,0.0005937558860784005,0.0004295538582687291,0.06646678317100013,0.018016878911990185,0.23036081190668484,8.67356157654735e-07
T_ATC,9.399721528851028e-08,8.933561855686939e-07,3.647596485554686e-05,0.0003279345342396986,0.00037117432300659754,0.0030584731455143323,0.017910529831096155,6.53699860369849e-11,1.0201704141733892e-08,6.820218346936983e-08,0.06412383745858755,0.10595275233212527,0.01709908787391984,3.952872663900791e-05,0.0001361611945281751,5.068759864656668e-05,4.247710723323358e-09,2.357611271056406e-07,1.0758927901180292e-07,0.10997800624944717,0.001816461140006324,0.20453371369145182,1.437691399131813e-11,1.072041785625882e-09,1.8969493322921055e-08,5.754515165352624e-06,0.0002616668910790417,7.840718566348026e-05,5.943173434435055e-05,7.790217321934463e-08,0.0031310025817580574,3.7007196059935314e-06,0.1155602740811862
